year,avg_temp
1855,10.20
1856,12.01
1857,12.06
1858,12.13
1859,12.39
1860,12.07
1861,11.89
1862,11.65
1863,11.49
1864,12.00
1865,12.43
1866,12.31
1867,12.17
1868,12.15
1869,12.01
1870,11.87
1871,11.68
1872,11.69
1873,12.27
1874,12.06
1875,11.92
1876,12.39
1877,12.91
1878,12.50
1879,12.71
1880,12.56
1881,12.12
1882,12.35
1883,11.99
1884,11.93
1885,11.62
1886,12.05
1887,12.02
1888,12.34
1889,11.54
1890,12.12
1891,12.40
1892,12.00
1893,12.09
1894,12.31
1895,12.35
1896,12.97
1897,12.44
1898,11.76
1899,12.91
1900,12.68
1901,12.61
1902,12.37
1903,12.13
1904,12.94
1905,12.66
1906,12.53
1907,12.02
1908,12.55
1909,12.20
1910,11.78
1911,12.33
1912,12.52
1913,12.87
1914,12.40
1915,12.31
1916,11.91
1917,12.67
1918,12.19
1919,12.76
1920,12.47
1921,12.10
1922,12.41
1923,11.99
1924,12.46
1925,12.31
1926,12.77
1927,12.53
1928,12.31
1929,12.38
1930,13.29
1931,12.71
1932,12.83
1933,12.34
1934,12.44
1935,12.89
1936,12.53
1937,12.53
1938,12.09
1939,12.93
1940,13.08
1941,12.65
1942,12.73
1943,13.14
1944,13.15
1945,13.24
1946,12.70
1947,12.75
1948,12.58
1949,12.75
1950,12.62
1951,13.10
1952,13.21
1953,12.81
1954,12.61
1955,12.32
1956,12.49
1957,12.85
1958,12.90
1959,12.59
1960,13.15
1961,12.73
1962,13.10
1963,12.81
1964,12.72
1965,13.00
1966,12.54
1967,12.51
1968,13.14
1969,12.65
1970,12.70
1971,12.52
1972,12.87
1973,12.40
1974,12.38
1975,12.70
1976,12.57
1977,13.47
1978,13.34
1979,13.04
1980,13.29
1981,13.23
1982,13.34
1983,13.00
1984,12.57
1985,13.35
1986,13.04
1987,13.53
1988,12.81
1989,13.23
1990,12.88
1991,13.00
1992,12.93
1993,13.26
1994,13.42
1995,13.02
1996,13.16
1997,13.66
1998,13.19
1999,13.24
2000,12.99
2001,13.16
2002,12.95
2003,13.24
2004,13.44
2005,13.06
2006,13.19
2007,12.31
2008,13.69
2009,13.04
2010,12.69
2011,13.25
2012,13.48
2013,13.07
1849,15.71
1850,15.28
1851,15.53
1852,15.61
1853,16.27
1854,15.74
1855,15.94
1856,15.52
1857,16.19
1858,15.67
1859,15.29
1860,15.41
1861,16.51
1862,16.05
1863,15.88
1864,16.62
1865,15.89
1866,16.33
1867,16.51
1868,16.09
1869,16.05
1870,15.64
1871,15.89
1872,15.66
1873,15.70
1874,15.33
1875,16.19
1876,15.70
1877,16.24
1878,15.44
1879,15.55
1880,14.36
1881,15.65
1882,14.85
1883,15.52
1884,15.28
1885,16.44
1886,15.74
1887,15.62
1888,15.91
1889,16.22
1890,15.80
1891,15.63
1892,15.33
1893,14.95
1894,14.83
1895,15.36
1896,16.10
1897,15.32
1898,15.65
1899,15.59
1900,16.08
1901,15.72
1902,15.08
1903,15.49
1904,16.24
1905,15.52
1906,15.74
1907,15.46
1908,15.17
1909,15.01
1910,15.94
1911,14.82
1912,14.84
1913,15.20
1914,15.65
1915,15.43
1916,14.60
1917,15.59
1918,15.65
1919,15.34
1920,15.06
1921,15.76
1922,15.31
1923,15.39
1924,15.69
1925,15.72
1926,16.60
1927,15.41
1928,15.98
1929,16.10
1930,15.99
1931,16.60
1932,15.40
1933,15.40
1934,17.03
1935,15.50
1936,16.60
1937,15.68
1938,15.89
1939,16.30
1940,16.53
1941,15.62
1942,15.77
1943,16.12
1944,15.03
1945,15.70
1946,15.65
1947,15.98
1948,15.09
1949,15.36
1950,16.20
1951,15.76
1952,15.33
1953,15.68
1954,16.05
1955,15.34
1956,15.70
1957,15.80
1958,16.70
1959,17.05
1960,16.31
1961,16.21
1962,15.62
1963,15.73
1964,15.28
1965,15.34
1966,15.99
1967,15.92
1968,15.89
1969,15.79
1970,16.00
1971,15.26
1972,15.96
1973,15.51
1974,15.85
1975,15.12
1976,16.18
1977,16.26
1978,16.01
1979,15.88
1980,16.23
1981,16.89
1982,15.44
1983,16.20
1984,16.76
1985,15.96
1986,16.50
1987,16.09
1988,16.44
1989,16.36
1990,16.37
1991,16.00
1992,16.79
1993,16.36
1994,16.29
1995,16.64
1996,17.08
1997,16.93
1998,15.37
1999,16.12
2000,16.64
2001,16.47
2002,16.43
2003,16.94
2004,16.55
2005,16.43
2006,16.62
2007,16.70
2008,17.01
2009,16.68
2010,15.89
2011,15.87
2012,17.09
2013,18.12
