year,avg_temp
1849,14.12
1850,13.80
1851,14.39
1852,13.81
1853,14.40
1854,13.98
1855,14.20
1856,14.10
1857,14.78
1858,14.19
1859,13.71
1860,13.81
1861,14.88
1862,14.43
1863,14.43
1864,15.18
1865,14.32
1866,14.67
1867,14.46
1868,14.25
1869,14.57
1870,14.19
1871,14.34
1872,14.63
1873,14.46
1874,14.09
1875,14.76
1876,14.44
1877,15.03
1878,14.37
1879,14.20
1880,13.22
1881,14.39
1882,13.58
1883,13.93
1884,14.05
1885,15.05
1886,14.58
1887,14.38
1888,14.70
1889,14.81
1890,14.05
1891,14.46
1892,14.05
1893,13.40
1894,13.80
1895,13.95
1896,14.22
1897,13.81
1898,13.77
1899,14.04
1900,14.64
1901,14.34
1902,14.07
1903,14.12
1904,14.50
1905,14.39
1906,14.81
1907,14.34
1908,14.01
1909,14.05
1910,14.17
1911,13.46
1912,13.95
1913,14.38
1914,14.33
1915,14.30
1916,13.61
1917,14.06
1918,14.14
1919,13.60
1920,13.72
1921,14.24
1922,13.61
1923,14.13
1924,14.10
1925,14.34
1926,15.14
1927,14.24
1928,14.32
1929,14.25
1930,14.25
1931,14.93
1932,14.24
1933,13.93
1934,15.31
1935,14.12
1936,15.13
1937,14.36
1938,14.35
1939,14.81
1940,15.12
1941,14.98
1942,14.20
1943,14.72
1944,14.17
1945,14.41
1946,13.83
1947,14.51
1948,13.65
1949,13.90
1950,14.66
1951,14.06
1952,14.11
1953,14.42
1954,14.18
1955,13.74
1956,14.08
1957,14.59
1958,15.41
1959,15.39
1960,14.59
1961,14.65
1962,14.22
1963,14.19
1964,14.24
1965,14.14
1966,14.74
1967,14.50
1968,14.66
1969,14.51
1970,14.76
1971,13.89
1972,14.25
1973,14.58
1974,14.41
1975,13.82
1976,14.72
1977,14.63
1978,14.96
1979,14.99
1980,14.74
1981,15.22
1982,14.00
1983,15.07
1984,14.97
1985,14.23
1986,15.00
1987,14.95
1988,15.08
1989,14.45
1990,14.73
1991,14.50
1992,15.53
1993,14.97
1994,14.21
1995,15.31
1996,15.56
1997,15.75
1998,14.38
1999,14.41
2000,15.02
2001,15.25
2002,15.00
2003,15.43
2004,15.37
2005,15.17
2006,15.02
2007,14.94
2008,15.05
2009,15.02
2010,14.67
2011,14.50
2012,15.05
2013,16.23
