year,avg_temp
1841,14.87
1842,15.43
1843,15.53
1844,15.33
1845,15.43
1846,15.85
1847,15.78
1848,15.02
1849,15.44
1850,15.60
1851,15.22
1852,15.44
1853,15.79
1854,15.99
1855,15.84
1856,15.55
1857,15.93
1858,15.49
1859,15.64
1860,15.05
1861,15.29
1862,14.47
1863,15.20
1864,14.85
1865,15.72
1866,15.54
1867,15.95
1868,15.86
1869,16.09
1870,15.95
1871,16.31
1872,16.12
1873,15.74
1874,15.68
1875,15.47
1876,15.60
1877,15.43
1878,15.46
1879,16.13
1880,15.28
1881,15.63
1882,15.54
1883,15.41
1884,14.92
1885,14.91
1886,15.06
1887,15.65
1888,15.87
1889,15.30
1890,16.22
1891,15.72
1892,15.43
1893,15.13
1894,16.23
1895,15.27
1896,15.73
1897,15.60
1898,16.33
1899,15.84
1900,15.80
1901,15.26
1902,16.27
1903,15.56
1904,15.64
1905,15.50
1906,15.50
1907,15.57
1908,15.67
1909,15.84
1910,15.26
1911,15.48
1912,15.61
1913,15.36
1914,16.52
1915,16.11
1916,15.75
1917,15.09
1918,15.55
1919,15.93
1920,16.02
1921,15.58
1922,16.11
1923,15.77
1924,15.72
1925,15.65
1926,16.04
1927,16.13
1928,16.03
1929,15.96
1930,16.06
1931,15.64
1932,16.04
1933,15.91
1934,15.85
1935,16.33
1936,15.28
1937,16.09
1938,16.32
1939,16.13
1940,16.25
1941,16.39
1942,16.21
1943,16.01
1944,16.14
1945,15.91
1946,16.70
1947,15.87
1948,16.49
1949,16.56
1950,16.40
1951,16.18
1952,16.10
1953,17.03
1954,15.85
1955,16.06
1956,15.61
1957,15.60
1958,16.07
1959,16.54
1960,16.60
1961,17.02
1962,16.11
1963,16.20
1964,16.58
1965,16.06
1966,16.50
1967,16.05
1968,16.13
1969,15.64
1970,15.82
1971,16.22
1972,15.71
1973,16.32
1974,15.93
1975,16.48
1976,15.71
1977,16.17
1978,16.67
1979,16.54
1980,15.57
1981,15.91
1982,16.20
1983,16.22
1984,15.80
1985,16.04
1986,15.94
1987,16.19
1988,16.17
1989,16.24
1990,17.26
1991,16.14
1992,16.14
1993,15.98
1994,17.34
1995,16.36
1996,16.21
1997,16.76
1998,17.56
1999,16.68
2000,16.90
2001,16.93
2002,17.22
2003,16.74
2004,17.24
2005,16.75
2006,17.41
2007,17.63
2008,16.72
2009,17.01
2010,16.75
2011,16.52
2012,16.47
2013,17.86
